name,zero_cross_sum,zero_cross_rate_mean,chromagram_mean,mfcc_mean_global,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
030-1187644-Fallen to Flux-Living With The Pain40,20295,0.11463003849637682,0.43285063,3.252336,-87.541374,76.51383,-3.763837,50.03856,11.370592,15.312952,-0.4502068,16.163237,-2.9577677,3.819411,-11.602045,11.677048,-4.5611205,5.5611806,-8.770615,6.433765,-7.381485,0.37973672,-7.4333363,2.2381952
041-1826133-Chainerdog-01 nervous movement deined50,26138,0.14757416213768115,0.4622112,2.3942432,-37.05762,86.48989,-19.364262,44.827755,-15.05451,8.105686,-7.556738,10.409918,-2.4160035,2.5674524,-7.912195,3.213936,-8.996407,9.08125,-11.055118,7.99351,-11.254686,1.8813354,-6.8860893,0.8677601
018-1657875-VintergatA-______ ___60,21277,0.12017521512681159,0.49266523,6.4882374,-33.829315,77.10181,-15.988213,27.478453,-3.410082,23.914068,-0.6205404,14.281874,2.071284,20.483833,-1.0108383,12.875188,-5.04446,7.998986,-6.706949,12.030541,-7.3736806,3.9101672,-6.3937597,7.996387
035-1523542-Lindar Olostur-Mistfolk - ________ __________70,28615,0.16162250905797101,0.56683147,5.8755875,-59.08216,51.85688,-12.924691,46.11547,7.2451177,19.61179,6.151835,20.099112,1.5581461,16.144323,-4.074678,15.588001,-1.5804981,7.5930066,-7.918678,4.7043624,-5.9461803,7.546764,-4.268134,9.091965
031-1314695-Swim to Drown-Class Trial80,26722,0.15091995018115942,0.5608559,4.7299767,-34.8109,68.517006,-11.657944,31.633287,2.4411597,16.521673,-3.4662323,11.583795,-11.1748705,6.481888,-5.0870843,10.655455,-3.5272574,11.211191,-6.6775303,6.634623,-6.493408,8.5598,-4.2188067,7.4736867
034-1435179-Before Humans _Official_-Fall Down90,17136,0.09680706521739131,0.5187811,4.2726126,-85.33054,75.12277,2.6938262,37.51534,17.196938,19.539322,-0.55992705,7.38337,-4.1581616,13.567163,-4.099152,10.3965435,-4.5324483,7.8613396,-5.682403,12.24129,-8.511411,3.382963,-8.390685,-0.18388394
020-69638-Danforth-Regrets100,18111,0.10212862318840579,0.5095182,2.4135485,-93.20757,91.009476,-27.768103,38.1259,0.3776931,25.93631,-2.972484,17.942938,7.7686367,5.3692713,-8.098522,11.537857,-6.5074244,-4.42842,-10.386275,8.017116,-3.705786,1.8612708,-3.9559402,1.3550302
This_Is_Not_Right_For_Me_-_bessonnitsa10,19746,0.1115234375,0.47378877,0.6719999,-105.63812,89.45242,-6.3595843,13.901593,1.4837223,13.157124,-6.3899174,11.006039,-7.0219307,8.112772,-4.1409063,9.935401,-6.635302,5.1061883,-5.7897043,4.4184566,-6.653413,6.037176,-5.532046,4.9900293
Pain(t)_On_Me_-_Smoking_With_Poets20,23979,0.13561197916666667,0.2866747,-0.31715572,-133.82883,75.3545,4.931603,45.876446,-3.8718114,6.6374764,-4.4723964,17.01342,-2.038828,14.343941,8.751441,1.1044562,-16.491117,-1.9221157,-18.34853,-8.669124,-8.000121,7.724045,-0.23585564,9.798284
RED_LIGHT_-_EGOR_BUDENNYY30,15321,0.08631538722826088,0.41785878,1.5187473,-130.44849,93.928635,5.6671524,33.974976,10.168223,11.499071,-3.9557123,12.423166,-6.491459,10.582313,-3.4972413,7.7218666,-5.307695,3.257618,-6.950025,3.7041607,-7.371679,6.5596538,-6.936025,1.8464352
Gone_-_Michael_McEachern40,16779,0.09459918478260869,0.49076632,2.1789956,-136.79088,98.915665,37.404762,17.809216,3.8146791,13.574009,2.3060663,10.259914,-5.5662246,11.695926,-8.450583,9.488179,-6.1576567,8.622637,-6.990915,3.1513643,-8.514875,6.258871,-10.2067375,2.9564934
Remedy_-_bessonnitsa50,8816,0.0497947803442029,0.39946586,2.6250055,-164.19658,118.24506,17.0074,36.80285,12.921192,22.762436,3.7841055,13.706428,-0.3468813,3.3900096,-13.028641,3.7832944,-6.3846574,4.3917103,-2.209261,6.2858553,-4.0267305,5.2067432,-8.550616,2.9563909
